corridor,rue_1,rue_2,peak,flow,mean_volume,sample_size
25 e Avenue / Victoria,25 e Avenue,Victoria,AM,Inbound,0.36,1566
25 e Avenue / Victoria,25 e Avenue,Victoria,AM,Outbound,0.17,1502
25 e Avenue / Victoria,25 e Avenue,Victoria,PM,Inbound,0.63,1481
25 e Avenue / Victoria,25 e Avenue,Victoria,PM,Outbound,0.5,1420
Amos d' / Jean-Meunier,Amos d',Jean-Meunier,AM,Inbound,0.15,1523
Amos d' / Jean-Meunier,Amos d',Jean-Meunier,PM,Inbound,0.2,1445
Berri / Louvain,Berri,Louvain,AM,Inbound,4.62,2525
Berri / Louvain,Berri,Louvain,PM,Inbound,3.89,2443
Berri / de la Gauchetiere,Berri,de la Gauchetiere,AM,Inbound,29.62,2365
Berri / de la Gauchetiere,Berri,de la Gauchetiere,AM,Outbound,7.61,2365
Berri / de la Gauchetiere,Berri,de la Gauchetiere,PM,Inbound,19.93,2307
Berri / de la Gauchetiere,Berri,de la Gauchetiere,PM,Outbound,41.48,2307
Boucherville / Notre-Dame,Boucherville,Notre-Dame,AM,Inbound,0.62,1862
Boucherville / Notre-Dame,Boucherville,Notre-Dame,AM,Outbound,0.92,1862
Boucherville / Notre-Dame,Boucherville,Notre-Dame,PM,Inbound,2.46,1893
Boucherville / Notre-Dame,Boucherville,Notre-Dame,PM,Outbound,1.96,1893
Bourbonnière / Sherbrooke,Bourbonnière,Sherbrooke,AM,Inbound,3.31,1515
Bourbonnière / Sherbrooke,Bourbonnière,Sherbrooke,AM,Outbound,3.41,1515
Bourbonnière / Sherbrooke,Bourbonnière,Sherbrooke,PM,Inbound,3.67,1432
Bourbonnière / Sherbrooke,Bourbonnière,Sherbrooke,PM,Outbound,4.79,1432
Bourret / Décarie inter. Est,Bourret,Décarie inter. Est,AM,Inbound,1.04,720
Bourret / Décarie inter. Est,Bourret,Décarie inter. Est,AM,Outbound,1.85,720
Bourret / Décarie inter. Est,Bourret,Décarie inter. Est,PM,Inbound,2.05,642
Bourret / Décarie inter. Est,Bourret,Décarie inter. Est,PM,Outbound,1.81,642
Canadiens-de-Montréal / Peel,Canadiens-de-Montréal,Peel,AM,Inbound,4.86,2537
Canadiens-de-Montréal / Peel,Canadiens-de-Montréal,Peel,AM,Outbound,11.14,2537
