arrondissement,season,day,hour,mean_volume,sample_size,day_order,season_order
Ahuntsic-Cartierville,All year,Monday,0,1.589,129,0,0
Ahuntsic-Cartierville,All year,Monday,1,1.333,126,0,0
Ahuntsic-Cartierville,All year,Monday,2,0.826,132,0,0
Ahuntsic-Cartierville,All year,Monday,3,0.492,132,0,0
Ahuntsic-Cartierville,All year,Monday,4,1.106,132,0,0
Ahuntsic-Cartierville,All year,Monday,5,3.038,132,0,0
Ahuntsic-Cartierville,All year,Monday,6,7.773,132,0,0
Ahuntsic-Cartierville,All year,Monday,7,17.815,135,0,0
Ahuntsic-Cartierville,All year,Monday,8,20.586,133,0,0
Ahuntsic-Cartierville,All year,Monday,9,11.444,133,0,0
Ahuntsic-Cartierville,All year,Monday,10,10.992,133,0,0
Ahuntsic-Cartierville,All year,Monday,11,13.069,131,0,0
Ahuntsic-Cartierville,All year,Monday,12,14.89,127,0,0
Ahuntsic-Cartierville,All year,Monday,13,14.907,129,0,0
Ahuntsic-Cartierville,All year,Monday,14,15.754,130,0,0
Ahuntsic-Cartierville,All year,Monday,15,22.156,128,0,0
Ahuntsic-Cartierville,All year,Monday,16,29.922,129,0,0
Ahuntsic-Cartierville,All year,Monday,17,33.553,132,0,0
Ahuntsic-Cartierville,All year,Monday,18,22.898,128,0,0
Ahuntsic-Cartierville,All year,Monday,19,14.4,130,0,0
Ahuntsic-Cartierville,All year,Monday,20,10.78,132,0,0
Ahuntsic-Cartierville,All year,Monday,21,8.669,130,0,0
Ahuntsic-Cartierville,All year,Monday,22,5.785,130,0,0
Ahuntsic-Cartierville,All year,Monday,23,2.832,125,0,0
Ahuntsic-Cartierville,All year,Tuesday,0,1.457,127,1,0
Ahuntsic-Cartierville,All year,Tuesday,1,1.007,134,1,0
Ahuntsic-Cartierville,All year,Tuesday,2,0.848,132,1,0
Ahuntsic-Cartierville,All year,Tuesday,3,0.462,132,1,0
Ahuntsic-Cartierville,All year,Tuesday,4,0.947,132,1,0
Ahuntsic-Cartierville,All year,Tuesday,5,3.106,132,1,0
Ahuntsic-Cartierville,All year,Tuesday,6,8.433,134,1,0
Ahuntsic-Cartierville,All year,Tuesday,7,21.925,134,1,0
Ahuntsic-Cartierville,All year,Tuesday,8,27.47,134,1,0
Ahuntsic-Cartierville,All year,Tuesday,9,13.876,129,1,0
Ahuntsic-Cartierville,All year,Tuesday,10,11.25,128,1,0
Ahuntsic-Cartierville,All year,Tuesday,11,12.084,131,1,0
Ahuntsic-Cartierville,All year,Tuesday,12,13.496,127,1,0
Ahuntsic-Cartierville,All year,Tuesday,13,15.548,124,1,0
