agg_code,instance,longitude,latitude,arrondissement,rue_1,rue_2,numeroVoie,direction,periode,volume,vitesseMoyenne
m,det-00077-01,-73.63901615,45.488279,Côte-des-Neiges–Notre-Dame-de-Grâce,Bourret,Décarie inter. Est,1,Ouest,2025-11-01 00:00:00-04:00,1909,16.270298585646934
m,det-00077-01,-73.63901615,45.488279,Côte-des-Neiges–Notre-Dame-de-Grâce,Bourret,Décarie inter. Est,1,Ouest,2025-12-01 00:00:00-05:00,981,15.227319062181447
m,det-00077-01,-73.63901615,45.488279,Côte-des-Neiges–Notre-Dame-de-Grâce,Bourret,Décarie inter. Est,1,Ouest,2026-04-01 00:00:00-04:00,1162,16.35800344234079
m,det-00077-01,-73.63901615,45.488279,Côte-des-Neiges–Notre-Dame-de-Grâce,Bourret,Décarie inter. Est,1,Ouest,2026-05-01 00:00:00-04:00,3155,16.08716323296355
m,det-00077-01,-73.63901615,45.488279,Côte-des-Neiges–Notre-Dame-de-Grâce,Bourret,Décarie inter. Est,2,Est,2025-11-01 00:00:00-04:00,1722,16.40534262485482
m,det-00077-01,-73.63901615,45.488279,Côte-des-Neiges–Notre-Dame-de-Grâce,Bourret,Décarie inter. Est,2,Est,2025-12-01 00:00:00-05:00,958,14.923799582463465
m,det-00077-01,-73.63901615,45.488279,Côte-des-Neiges–Notre-Dame-de-Grâce,Bourret,Décarie inter. Est,2,Est,2026-04-01 00:00:00-04:00,994,15.75251509054326
m,det-00077-01,-73.63901615,45.488279,Côte-des-Neiges–Notre-Dame-de-Grâce,Bourret,Décarie inter. Est,2,Est,2026-05-01 00:00:00-04:00,2624,16.430259146341463
m,det-00118-01,-73.62487067,45.47833835,Côte-des-Neiges–Notre-Dame-de-Grâce,Girouard,Terrebonne,1,Ouest,2025-10-01 00:00:00-04:00,1106,21.95117540687161
m,det-00118-01,-73.62487067,45.47833835,Côte-des-Neiges–Notre-Dame-de-Grâce,Girouard,Terrebonne,1,Ouest,2025-11-01 00:00:00-04:00,2535,19.82248520710059
m,det-00118-01,-73.62487067,45.47833835,Côte-des-Neiges–Notre-Dame-de-Grâce,Girouard,Terrebonne,1,Ouest,2025-12-01 00:00:00-05:00,1007,15.268123138033763
m,det-00118-01,-73.62487067,45.47833835,Côte-des-Neiges–Notre-Dame-de-Grâce,Girouard,Terrebonne,1,Ouest,2026-01-01 00:00:00-05:00,564,14.101063829787234
m,det-00118-01,-73.62487067,45.47833835,Côte-des-Neiges–Notre-Dame-de-Grâce,Girouard,Terrebonne,1,Ouest,2026-02-01 00:00:00-05:00,814,15.968058968058967
m,det-00118-01,-73.62487067,45.47833835,Côte-des-Neiges–Notre-Dame-de-Grâce,Girouard,Terrebonne,1,Ouest,2026-03-01 00:00:00-05:00,765,17.094117647058823
m,det-00118-01,-73.62487067,45.47833835,Côte-des-Neiges–Notre-Dame-de-Grâce,Girouard,Terrebonne,1,Ouest,2026-04-01 00:00:00-04:00,1084,20.90867158671587
m,det-00118-01,-73.62487067,45.47833835,Côte-des-Neiges–Notre-Dame-de-Grâce,Girouard,Terrebonne,1,Ouest,2026-05-01 00:00:00-04:00,3485,22.353802008608323
m,det-00118-02,-73.62487067,45.47833835,Côte-des-Neiges–Notre-Dame-de-Grâce,Girouard,Terrebonne,2,Sud,2025-10-01 00:00:00-04:00,1492,19.27938213566152
m,det-00118-02,-73.62487067,45.47833835,Côte-des-Neiges–Notre-Dame-de-Grâce,Girouard,Terrebonne,2,Sud,2025-11-01 00:00:00-04:00,3012,18.717195325542573
m,det-00118-02,-73.62487067,45.47833835,Côte-des-Neiges–Notre-Dame-de-Grâce,Girouard,Terrebonne,2,Sud,2025-12-01 00:00:00-05:00,580,14.494642857142855
m,det-00118-02,-73.62487067,45.47833835,Côte-des-Neiges–Notre-Dame-de-Grâce,Girouard,Terrebonne,2,Sud,2026-01-01 00:00:00-05:00,298,10.477508650519033
m,det-00118-02,-73.62487067,45.47833835,Côte-des-Neiges–Notre-Dame-de-Grâce,Girouard,Terrebonne,2,Sud,2026-02-01 00:00:00-05:00,356,12.00597014925373
m,det-00118-02,-73.62487067,45.47833835,Côte-des-Neiges–Notre-Dame-de-Grâce,Girouard,Terrebonne,2,Sud,2026-03-01 00:00:00-05:00,705,15.907380607814762
m,det-00118-02,-73.62487067,45.47833835,Côte-des-Neiges–Notre-Dame-de-Grâce,Girouard,Terrebonne,2,Sud,2026-04-01 00:00:00-04:00,1681,18.53001200480192
m,det-00118-02,-73.62487067,45.47833835,Côte-des-Neiges–Notre-Dame-de-Grâce,Girouard,Terrebonne,2,Sud,2026-05-01 00:00:00-04:00,6138,18.374528147054
m,det-00118-02,-73.62487067,45.47833835,Côte-des-Neiges–Notre-Dame-de-Grâce,Girouard,Terrebonne,3,Nord,2025-10-01 00:00:00-04:00,221,17.833333333333332
