corridor,mean_volume,arrondissement,n_sensors,peak_volume,winter_retention
25 e Avenue & Victoria,1108.875,Lachine,1,1.4978279756733275,0.40696587190275835
Amos d' & Jean-Meunier,251.625,Montréal-Nord,1,0.6550218340611353,0.8807896735003797
Berri & Louvain,4489.666666666667,Ahuntsic-Cartierville,1,14.831401475237092,0.4098734177215189
Berri & de la Gauchetiere,57720.0,Ville-Marie,1,89.6782122905028,0.09391541284813472
Boucherville & Notre-Dame,4999.0,Mercier–Hochelaga-Maisonneuve,1,5.61543909348442,0.0667462905967201
Bourbonnière & Sherbrooke,8062.25,Rosemont–La Petite-Patrie,1,13.138400702987697,0.35045910580700046
Bourret & Décarie inter. Est,3376.25,Côte-des-Neiges–Notre-Dame-de-Grâce,1,5.992424242424242,0.5029396507003285
Canadiens-de-Montréal & Peel,31672.833333333332,Ville-Marie,1,44.47632674297606,0.13355410511851598
Charlevoix & Wellington,8632.083333333334,Le Sud-Ouest,1,11.74761101742552,0.09264345852988595
Christophe-Colomb & Henri-Bourassa,3905.6,Ahuntsic-Cartierville,1,5.239910313901345,0.28406556807321387
Côte-Sainte-Catherine & Mont-Royal,418.64285714285717,Ville-Marie,2,1.2432144757849921,0.34543501611170785
Côte-de-Liesse & Lucerne,2538.9166666666665,Saint-Laurent,2,8.989427860696518,0.29382098324199823
De Lorimier/Viger & Notre-Dame,235.5,Ville-Marie,1,0.7497420020639834,0.3156042236996481
Gaétan-Laberge & Sortie A-15 Sud,9890.75,Le Sud-Ouest,1,13.902643171806167,0.17480043752472713
Girouard & Terrebonne,2398.3125,Côte-des-Neiges–Notre-Dame-de-Grâce,2,5.28537170263789,0.27743157937400575
Haig & Notre-Dame,2546.5,Mercier–Hochelaga-Maisonneuve,1,3.158410732714138,0.19633206652487709
Henri-Bourassa & Saint-Vital,449.0,Montréal-Nord,2,1.4792899408284024,0.8104667609618105
Honoré-Beaugrand & Notre-Dame,1837.6666666666667,Mercier–Hochelaga-Maisonneuve,1,2.753366406803685,0.1797693574958814
Iberville & Jean-Talon,2056.75,Villeray–Saint-Michel–Parc-Extension,1,5.909574468085107,0.5059948238525326
Iberville & Villeray,1641.375,Villeray–Saint-Michel–Parc-Extension,1,5.912464319695528,0.3069107523972705
Jean-Talon & Normanville,4006.285714285714,Rosemont–La Petite-Patrie,1,15.043701799485861,0.1505614154474311
Lajeunesse & Legendre,13787.0,Ahuntsic-Cartierville,1,37.73196419167983,0.04630851475182442
Louis-Hippolyte-La-Fontaine & Perras Inter. Est,480.57142857142856,Rivière-des-Prairies–Pointe-aux-Trembles,2,0.9633507853403142,22.396788990825687
Maisonneuve & Saint-Marc,34512.0,Ville-Marie,1,41.15866666666667,0.058497426290485766
Nazareth & William,2651.5,Le Sud-Ouest,1,6.75979381443299,0.09875340864822751
Notre-Dame & Curatteau,3634.0,Mercier–Hochelaga-Maisonneuve,1,4.74043909348442,0.6407751312071055
Notre-Dame & Peel,5573.125,Le Sud-Ouest,2,18.754979157017136,0.3110126374528147
Ottawa & Peel,10928.833333333334,Le Sud-Ouest,2,30.301508844953172,0.13905366752701728
Papineau & Rachel,29064.875,Le Plateau-Mont-Royal,1,46.84816513761468,0.49815748949331423
Peel & René-Lévesque,19936.166666666668,Ville-Marie,1,29.03470715835141,0.17539155826917974
Peel & Saint-Antoine,19899.5,Ville-Marie,2,58.51340615690169,0.11742880835748422
Saint-Jacques & Seigneurs,1234.3333333333333,Le Sud-Ouest,1,2.745990688049664,0.3946524064171123
Saint-Urbain & Viger,20274.416666666668,Ville-Marie,1,30.556559917355372,0.17638380559049188
