corridor,rue_1,rue_2,peak,flow,mean_volume,sample_size
Berri / Louvain,Berri,Louvain,AM,Inbound,1.03,2382
Berri / Louvain,Berri,Louvain,PM,Inbound,1.1,2383
Boucherville / Notre-Dame,Boucherville,Notre-Dame,AM,Inbound,1.57,1882
Boucherville / Notre-Dame,Boucherville,Notre-Dame,AM,Outbound,1.33,1882
Boucherville / Notre-Dame,Boucherville,Notre-Dame,PM,Inbound,0.79,1877
Boucherville / Notre-Dame,Boucherville,Notre-Dame,PM,Outbound,0.86,1877
Bourbonnière / Sherbrooke,Bourbonnière,Sherbrooke,AM,Inbound,1.91,1369
Bourbonnière / Sherbrooke,Bourbonnière,Sherbrooke,AM,Outbound,2.51,1369
Bourbonnière / Sherbrooke,Bourbonnière,Sherbrooke,PM,Inbound,1.25,1363
Bourbonnière / Sherbrooke,Bourbonnière,Sherbrooke,PM,Outbound,1.17,1363
Bourret / Décarie inter. Est,Bourret,Décarie inter. Est,AM,Inbound,0.84,608
Bourret / Décarie inter. Est,Bourret,Décarie inter. Est,AM,Outbound,1.25,608
Bourret / Décarie inter. Est,Bourret,Décarie inter. Est,PM,Inbound,0.47,600
Bourret / Décarie inter. Est,Bourret,Décarie inter. Est,PM,Outbound,0.69,600
Canadiens-de-Montréal / Peel,Canadiens-de-Montréal,Peel,AM,Inbound,6.41,2422
Canadiens-de-Montréal / Peel,Canadiens-de-Montréal,Peel,AM,Outbound,9.77,2422
Canadiens-de-Montréal / Peel,Canadiens-de-Montréal,Peel,PM,Inbound,5.79,2414
Canadiens-de-Montréal / Peel,Canadiens-de-Montréal,Peel,PM,Outbound,7.44,2414
Charlevoix / Wellington,Charlevoix,Wellington,AM,Inbound,0.64,2218
Charlevoix / Wellington,Charlevoix,Wellington,AM,Outbound,3.94,2218
Charlevoix / Wellington,Charlevoix,Wellington,PM,Inbound,1.22,2220
Charlevoix / Wellington,Charlevoix,Wellington,PM,Outbound,1.76,2220
