instance,arrondissement,rue_1,rue_2,longitude,latitude,mean_daily_volume,total_volume,active_days,corridor
det-00336-01,Ville-Marie,Maisonneuve,Saint-Marc,-73.581329,45.493845,1214.3343465045593,399516,329,Maisonneuve / Saint-Marc
det-00385-01,Ville-Marie,Canadiens-de-Montréal,Peel,-73.56921,45.498135,1087.192878338279,366384,337,Canadiens-de-Montréal / Peel
det-00709-01,Le Plateau-Mont-Royal,Papineau,Rachel,-73.56949746,45.53055038,1086.5384615384614,211875,195,Papineau / Rachel
det-00402-01,Ville-Marie,Peel,Saint-Antoine,-73.565945,45.496564,828.3224043715848,151583,183,Peel / Saint-Antoine
det-00335-01,Ville-Marie,Maisonneuve,Saint-Laurent,-73.564849,45.510961,719.578947368421,13672,19,Maisonneuve / Saint-Laurent
det-00421-01,Ville-Marie,Peel,René-Lévesque,-73.57081,45.499119,705.484756097561,231399,328,Peel / René-Lévesque
det-00467-01,Ville-Marie,Saint-Urbain,Viger,-73.560055,45.506221,693.7448071216617,233792,337,Saint-Urbain / Viger
det-00402-02,Ville-Marie,Peel,Saint-Antoine,-73.566559,45.496712,681.3333333333334,228928,336,Peel / Saint-Antoine
det-01194-02,Ahuntsic-Cartierville,Lajeunesse,Legendre,-73.645547,45.548574,478.7927927927928,159438,333,Lajeunesse / Legendre
det-00401-02,Le Sud-Ouest,Ottawa,Peel,-73.558396,45.493701,462.23809523809524,155312,336,Ottawa / Peel
det-01364-01,Le Sud-Ouest,Charlevoix,Wellington,-73.561977,45.473739,318.5290322580645,98744,310,Charlevoix / Wellington
det-00401-01,Le Sud-Ouest,Ottawa,Peel,-73.558916,45.493823,288.4315476190476,96913,336,Ottawa / Peel
det-00789-01,Rosemont–La Petite-Patrie,Bourbonnière,Sherbrooke,-73.55484615,45.55174068,279.35643564356434,56430,202,Bourbonnière / Sherbrooke
det-00399-01,Le Sud-Ouest,Notre-Dame,Peel,-73.56298671,45.49541721,217.05699481865284,41892,193,Notre-Dame / Peel
det-00967-13,Mercier–Hochelaga-Maisonneuve,Boucherville,Notre-Dame,-73.509491,45.583635,187.4625,44991,240,Boucherville / Notre-Dame
det-01452-01,Rosemont–La Petite-Patrie,Jean-Talon,Normanville,-73.61071833,45.54389198,177.21985815602838,24988,141,Jean-Talon / Normanville
det-00399-02,Le Sud-Ouest,Notre-Dame,Peel,-73.56298671,45.49541721,175.2835051546392,34005,194,Notre-Dame / Peel
det-01173-01,Ahuntsic-Cartierville,Berri,Louvain,-73.650118,45.549271,153.69578313253012,51027,332,Berri / Louvain
det-01269-01,Ahuntsic-Cartierville,Christophe-Colomb,Henri-Bourassa,-73.661524,45.562217,139.4857142857143,39056,280,Christophe-Colomb / Henri-Bourassa
det-00970-01,Mercier–Hochelaga-Maisonneuve,Notre-Dame,Curatteau,-73.508203,45.585309,135.70954356846474,32706,241,Notre-Dame / Curatteau
det-00077-01,C�te-des-Neiges–Notre-Dame-de-Grâce,Bourret,Décarie inter. Est,-73.63901615,45.488279,122.72631578947369,11659,95,Bourret / Décarie inter. Est
det-01487-03,Le Sud-Ouest,Nazareth,William,-73.559387,45.496943,119.44796380090497,26398,221,Nazareth / William
det-00118-02,C�te-des-Neiges–Notre-Dame-de-Grâce,Girouard,Terrebonne,-73.62487067,45.47833835,115.06,23012,200,Girouard / Terrebonne
det-01454-01,C�te-des-Neiges–Notre-Dame-de-Grâce,Darlington,Goyer,-73.63049393,45.50985432,90.77777777777777,817,9,Darlington / Goyer
det-00974-01,Mercier–Hochelaga-Maisonneuve,Haig,Notre-Dame,-73.514824,45.577387,87.2106824925816,29390,337,Haig / Notre-Dame
det-01020-01,Villeray–Saint-Michel–Parc-Extension,Iberville,Jean-Talon,-73.60202333,45.55361831,73.12437810945273,14698,201,Iberville / Jean-Talon
det-00976-02,Mercier–Hochelaga-Maisonneuve,Honoré-Beaugrand,Notre-Dame,-73.508827,45.588384,69.20083682008368,16539,239,Honoré-Beaugrand / Notre-Dame
det-01026-01,Villeray–Saint-Michel–Parc-Extension,Iberville,Villeray,-73.60896466,45.55669933,66.77083333333333,12820,192,Iberville / Villeray
det-01340-02,Rivière-des-Prairies–Pointe-aux-Trembles,Montigny,Saint-Jean-Baptiste,-73.505879,45.642491,59.96621621621622,8875,148,Montigny / Saint-Jean-Baptiste
det-00118-01,C�te-des-Neiges–Notre-Dame-de-Grâce,Girouard,Terrebonne,-73.62487067,45.47833835,51.120603015075375,10173,199,Girouard / Terrebonne
det-00257-02,Le Sud-Ouest,Saint-Jacques,Seigneurs,-73.572125,45.489232,42.81899109792285,14430,337,Saint-Jacques / Seigneurs
det-01340-01,Rivière-des-Prairies–Pointe-aux-Trembles,Montigny,Saint-Jean-Baptiste,-73.505879,45.642491,24.7972972972973,3670,148,Montigny / Saint-Jean-Baptiste
